dormir	dormir
dos	dos
dossiere	dossière
dotance	doutance
dote	doute
doter2	douter
doucement	doucement
douçor	douceur
douz	doux
dragon	dragon
drap	drap
drecier	dresser
droit	droit2
droiture	droiture
droiturier1	
droiturier2	droiturier
dromont	dromon
dru1	dru1
dru2	dru2
drüerie	druerie
drugeman	truchement
duc2	duc1
duel	deuil
duire1	duire1
duire2	duire2
dur	dur
duree	durée
durement	durement
durer	durer1
ëage	âge
ebenus	ebenus
edefiz	édifice
eglise	église
embarrer	embarrer
embatre	embattre
embaussemer	embausumer
embelir	embellir
emblee	emblée
embler	embler
emblöir	
embracier	embrasser
embriconer1	embriconner
embronchier	embroncher
embuignier	
empalir	empalir
emparlé	emparlé
empeindre1	empeindre
empenser	empenser
emperëor	empereur
empererriz	empereris
emperïal	impérial1
empire	empire
empirier	empirer
emplaidier	emplaider
emplastre	emplâtre
emplir	emplir
emploiier	employer
empoignier	empoigner
empoindre	empoindre
empointe	empeinte
emprendre	emprendre1
empresser	empresser
emprisoner	emprisonner
emprunter	emprunter
enarme	enarme
encens	encens
encenser2	encenser
encensier	encensier
encerchier	enchercher
enchäener	enchaîner
enchantement	enchantement
enchanter	enchanter
enchapeler	enchapeler
enchargier	encharger
enchaucier	enchaucier
encherir	enchérir
enciser	enciser
enclin	enclin1
encliner	encliner
enclore	enclore
enclume	enclume
encombrement	encombrement
encombrer	encombrer
encombrier	encombrier1
encomencier	encommencer
encontre2	encontre1
encontrer	encontrer
encoragier	encourager
encortiner	encourtiner
encouper1	encoulper
encraissier	engraisser
encroistre	encroître
encuser	encuser
endemain	endemain
endoctriner	endoctriner
endormie	endormie
endormir	endormir
endroit	endroit
enduire	enduire
endurer	endurer
enemi	ennemi
enermi	enermi
enfance	enfance
enfant	enfant
enfantosmer	enfantômer
enfer	enfer
enfermer	enfermer1
enfermerie1	enfermerie
enfermeté1	enfermeté1
enferrer	enferrer
enflamer	enflammer
enfler	enfler
enföir2	enfouir
enfondre	enfondre1
enforcier1	enforcer1
enforester	
enfraindre	enfreindre
enfrener	enfrener
engagier	engager
engignier1	engigner
engignos	ingénieux
engin	engin
englaiver	
engraignier	engraigner1
engrès	engrès
engresser	engresser1
engresté	engresseté
enhaïr	enhaïr
enhaitier	enhaitier
enhardir	enhardir
enhatie	enhatie
enhatine	
enhatir	
enivrer	enivrer
enjoindre	enjoindre
enjornee	
enjorner	
enlacier	enlacer
enluminement	enluminement
enluminer	enluminer
enmaler	enmaller
enmurer	emmurer
ennegier	
enoiier	ennuyer
enoindre	enoindre
enoios	ennuyeux
